title,text,subject,date
"Morocco expresses deep concern over Jerusalem decision, summons U.S. charge d'affaires","RABAT (Reuters) - Morocco summoned the U.S. charge d affaires to express its deep concern over the U.S. decision to recognize Jerusalem as Israel s capital, state news agency MAP said on Wednesday. Morocco s foreign minister  reiterated the constant support and full solidarity of the Kingdom of Morocco towards the Palestinian people so that they can recover their legitimate rights,  a statement carried by MAP said. ",worldnews,"December 6, 2017 "
Mattis visits Seoul for defense talks as tensions climb,"SEOUL (Reuters) - U.S. Defense Secretary Jim Mattis flew into Seoul on Friday for annual defense talks as tensions with North Korea climb ahead of a visit to the region next month by President Donald Trump. Mattis has emphasized diplomatic efforts to find a peaceful solution to the crisis during his week-long trip to Asia, even as North Korea’s weapons tests and bellicose verbal exchanges between Pyongyang and Washington stoke fears of an armed confrontation. “I carried the message that the more we do together today the greater the chance for enduring peace in the future,” Mattis said earlier this week, looking back at three days of meetings with Asian defense chiefs in the Philippines.  “That’s really what it was all about – to keep the (North Korea) effort firmly in the diplomatic lane for resolution.” Even before landing in Seoul, Mattis held a meeting in the Philippines on Monday with his South Korea and Japanese counterparts, where they agreed to keep bolstering intelligence sharing about North Korea and enhance exercises.  “Now we got to do the ‘roll up our sleeves’ (work) and do the pragmatic planning and coordination,” he told reporters. Japanese Defence Minister Itsunori Onodera warned the threat from North Korea has grown to a “critical and imminent level”. CIA chief Mike Pompeo said last week North Korea could be only months away from developing the ability to hit the United States with nuclear weapons, a scenario Trump has vowed to prevent.  U.S. intelligence experts say Pyongyang believes it needs the weapons to ensure its survival and have been skeptical about diplomatic efforts, focusing on sanctions, to get Pyongyang to denuclearize. The United States on Thursday imposed sanctions on seven North Korean individuals and three entities for “flagrant” human rights abuses, including killings, torture, forced labor and the hunting down of asylum seekers abroad. Mattis is expected to meet South Korean leaders on Friday before he joins the top U.S. military officer, Marine General Joseph Dunford, at the annual “Security Consultative Meeting” with South Korea’s military on Saturday. The visit comes just before Trump’s departs on Nov. 3 to Japan, South Korea, China, Vietnam and the Philippines, a trip which is expected to be dominated by the nuclear and ballistic missile threat posed by North Korea. Trump, in a speech last month at the United Nations, threatened to destroy North Korea if necessary to defend itself and allies. Kim has blasted Trump as “mentally deranged.” Despite the rhetoric, White House officials say Trump is looking for a peaceful resolution of the standoff. But all options, including military ones, are on the table.  Mattis, for his part, dismissed the idea that U.S. allies were confused about the U.S. approach, noting U.S. Secretary of State Rex Tillerson’s recent trip to Beijing to get China to do more to pressure Pyongyang.  China is North Korea’s biggest trading partner.  “Do we have military options in defense for attack, if our allies are attacked? Of course we do. But everyone is out for a peaceful resolution,” Mattis told reporters traveling with him earlier this week. “No one’s rushing for war.” ",politicsNews,"October 27, 2017 "
Ousted Catalan leaders to appear in Belgian court on November 17,"BRUSSELS (Reuters) - Ousted Catalan President Carles Puigdemont and four associates will appear before a Belgian court on Nov. 17 to discuss the European arrest warrant Spain has issued against them, prosecutors said on Monday.  The Brussels prosecutor s office hereby confirms that the hearing at the council chamber will take place on Nov. 17 at 1400 (1300 GMT),  Brussels prosecutors said in a statement. The hearing is one stage of the European extradition procedure that could take several weeks to complete. ",worldnews,"November 6, 2017 "
Turkey's Ziraat Bank denies Zarrab allegations regarding the bank: official,"ANKARA (Reuters) - Turkish lender Ziraat Bank denied allegations made on Thursday by a Turkish-Iranian gold trader in a New York court who said Ziraat sought to take part in an Iranian money laundering scheme, a senior bank official told Reuters. The bank conformed to international regulations, the official added. Reza Zarrab, who has pleaded guilty and agreed to cooperate with prosecutors, is expected to testify in Manhattan federal court against Halkbank executive Mehmet Hakan Atilla, in a case that has strained diplomatic relations between the United States and Turkey. ",worldnews,"November 30, 2017 "
"Iraq's PM, on U.S. visit, says wins assurances from Trump administration","WASHINGTON (Reuters) - Iraqi Prime Minister Haider al-Abadi said on Monday he received assurances during talks with President Donald Trump and his administration of increasing American support as he presses his country’s campaign against Islamic State. “We have been given assurances that the (U.S.) support will not only continue but will accelerate for Iraq to accomplish the task,” Abadi said following talks with Trump at the White House. ",politicsNews,"March 20, 2017 "
House Republicans seek $1 billion in Medicaid funds for Puerto Rico,"WASHINGTON (Reuters) - Puerto Rico, struggling to recover from hurricane damage, could receive $1 billion in additional funding for the Medicaid health insurance program for the poor under a proposal from a U.S. House of Representatives panel, a congressional aide said on Tuesday. Republicans who lead the House Energy and Commerce Committee included the request for more Medicaid funding for Puerto Rico as part of a separate bill to reauthorize the Children’s Health Insurance Program. It is scheduled to be considered and voted on in committee on Wednesday. The U.S. territorial island, hard-hit by Hurricane Maria, already had faced a drop-off of Medicaid funding at the end of the year, according to the Washington Post, which first reported Republicans’ plan. Now Puerto Rico also faces massive damage from Maria that wiped out much of its infrastructure, left hospitals struggling and residents without clean water, electricity and cellphone service. Committee spokeswoman Jennifer Sherman said the panel would take up the bill on Wednesday as part of its effort to renew funding for the larger U.S. children’s insurance program, which saw its funding expire during the weekend. Under the proposal, Puerto Rico would receive $880 million through 2019. It also would get another $120 million if its financial oversight board certified that the joint federal-state program there had taken steps to prevent fraud and abuse and improve efficiency, among other oversight steps. Lawmakers sought to pay for the additional Medicaid funding by charging higher premiums on wealthier people in the Medicare health insurance program for seniors, and redirecting some prevention health funding from community-based health centers, among other changes, according to a copy of the plan. Republican U.S. President Donald Trump visits the island on Tuesday amid criticism over his administration’s response to the storm. [nL2N1ME09T] About 3.4 million people live in Puerto Rico, which in recent years had faced recession and, in May,  bankruptcy. ",politicsNews,"October 3, 2017 "
Trump vice presidential search narrowed to four or five politicians,"WASHINGTON (Reuters) - Republican presidential candidate Donald Trump on Wednesday said he had narrowed his search for a vice presidential running mate down to four or five unnamed establishment politicians, including one former rival who has not endorsed him, according to a Bloomberg interview.  “I’d like to save it, give it the old fashioned way, right?” Trump said of not announcing his choice until the Republican National Convention in July. ",politicsNews,"June 8, 2016 "
Turkey detains 136 for suspected ties to coup plotters: agency,"ISTANBUL (Reuters) - Turkey detained 136 people, including former police, teachers and soldiers, in four separate operations on Thursday over suspected links to last year s attempted military coup, the state-run Anadolu news agency said. Authorities detained 60 former security officials in the operation centered in the capital Ankara and spread over 30 provinces, Anadolu said. In a separate operation that began on Wednesday and centered on Diyarbakir and spread over 26 other provinces, 55 soldiers were detained, Anadolu said. Officials were still searching for one more suspect. Six others were detained in the northern provinces of Samsun and Karabuk, as well as 15 teachers in Ankara, Anadolu said. The suspects were alleged to be using the encrypted messaging app, ByLock, which the government says was used by the network of U.S.-based cleric Fethullah Gulen. Ankara blames Gulen, for orchestrating the failed coup in July 2016. Gulen has denied involvement and denounced the putsch. More than 50,000 people, including police, military personnel and civil servants, have been jailed pending trial in the aftermath of the July 2016 coup. Some 150,000 people were sacked or suspended. The crackdown has alarmed Turkey s Western allies and rights groups, who say President Tayyip Erdogan is using the coup as a pretext to muzzle dissent. The government says the measures, taken under emergency rule that was imposed after the coup, are necessary due to the security threats Turkey faces. ",worldnews,"November 16, 2017 "
New Zealand offer to take 150 refugees could help Australia defuse PNG stand-off,"WELLINGTON/SYDNEY (Reuters) - New Zealand Prime Minister Jacinda Ardern said she would offer to take 150 refugees held by Australia when she meets counterpart Malcolm Turnbull on Sunday, promising Canberra a breather from a stand-off at a Papua New Guinea detention site. For more than three days, about 600 men have barricaded themselves inside in a camp on Manus Island, defying efforts by Australia and Papua New Guinea to shut it, despite having no food or running water.  New Zealand on Friday became the first country to publicly offer to intercede, when Arden said she would offer to take 150 refugees from Australia s two remote Pacific detention centers at the meeting with Turnbull in Sydney.  I expect the situation on Manus Island will be discussed in my meeting with Prime Minister Turnbull on Sunday,  Arden said in an emailed statement.  I intend to reaffirm our offer when we meet.  The offer could present Turnbull with a partial solution to the Manus Island stand-off, which the United Nations this week described as an  unfolding humanitarian emergency . Australia has previously rejected a similar offer by former New Zealand Prime Minister John Key, citing the ability of asylum seekers to freely move to Australia after relocation. New Zealand residents are allowed to live in Australia without visas. But Australia s center-right government is pushing for tough new rules to ban any asylum seekers who arrived by boat after 2013 from ever being allowed into Australia, even as tourists. Mounting criticism has not deterred Australia from its plan to close the Manus Island center, where it detains asylum seekers arriving by boat, as part of its controversial immigration policy, along with another in Nauru. Heavy rains across Papua New Guinea on Thursday helped replenish water storage bins on Manus, but food shortages worry the detainees, many of them from war-torn nations such as Afghanistan, Iran, Myanmar, Pakistan, Sri Lanka and Syria. They vowed not to leave, even though many are beginning to feel the ill-effects of going several days without food.  We will never move to another prison,  said one, Behrouz Boochani, a Kurdish journalist from Iran.  We will never settle for anything less than freedom. Only freedom.   ",worldnews,"November 3, 2017 "
Ronald Vitiello appointed chief of U.S. Border Patrol,"WASHINGTON (Reuters) - Ronald Vitiello has been appointed chief of the U.S. Border Patrol, according to an internal memo seen by Reuters on Tuesday, replacing Mark Morgan, who had been asked to step down as the agency moves toward tougher immigration enforcement under the Trump administration. Vitiello’s appointment was announced in a memo by Kevin McAleenan, acting commissioner of the U.S. Customs and Border Protection, which oversees the Border Patrol.   ",politicsNews,"February 1, 2017 "
Frankfurt to evacuate thousands as huge WWII bomb defused,"FRANKFURT (Reuters) - Frankfurt city officials have warned that Germany s financial capital could grind to a halt on Monday if residents don t heed orders to vacate their homes to allow the defusing of a massive World War Two bomb. On Sunday, the city will evacuate some 60,000 people in the nation s biggest such maneuver since the war while officials disarm the British bomb discovered on a building site this week in Frankfurt s leafy Westend, where many wealthy bankers live.  Fire and police chiefs, at a hastily called press conference on Friday, said they would use force and incarceration if necessary to clear the area of residents.  An uncontrolled explosion of the bomb would be big enough to flatten a city block, Frankfurt fire chief Reinhard Ries told reporters.  This bomb has more than 1.4 tonnes of explosives,  he said.  It s not just fragments that are the problem, but also the pressure that it creates that would dismantle all the buildings in a 100-metre (yard) radius. . The HC 4000 bomb is assumed to have been dropped by Britain s Royal Air Force during the 1939-45 war. Such finds are not unusual, but rarely are the unexploded bombs so large and in such a sensitive position. The compulsory evacuation radius of 1.5 km (roughly a mile) around the bomb includes police headquarters, two hospitals, transport systems and Germany s central bank storing $70 billion in gold reserves. Officials on Friday called on Frankfurt s residents to clear the area by 8 a.m. on Sunday and warned the effort could take at least 12 hours. Police said they couldn t begin defusing the bomb until they were sure everyone had left the area. They would ring every doorbell and use heat-sensing technology from overhead helicopters to help them identify stragglers, they said. Roads and transport systems, including the parts of the underground, will be closed during the work and for at least two hours after the bomb is defused, to allow patients to be transported back to hospitals without traffic.  Air traffic from Frankfurt airport could also be affected if there is an easterly wind on Sunday, air traffic control told Reuters on Friday. Also, small private planes, helicopters and drones will be banned from the evacuation zone, they said. Frankfurters can spend the day at shelters set up at the trade fair and the Jahrhunderthalle convention center, police have said. In addition, most museums are offering Frankfurt residents free entry on Sunday, and a few of them will open their doors earlier in the morning than usual, the city said on its website. ",worldnews,"September 1, 2017 "
Trump asked Comey to shut down Flynn probe: source,"WASHINGTON (Reuters) - President Donald Trump asked then-FBI Director James Comey to shut down an investigation into ties between former White House national security adviser Michael Flynn and Russia, an associate of Comey, who has seen the memo, said on Tuesday. The associate told Reuters that the details of the document as first reported by the New York Times were accurate.  “I hope you can let this go,” Trump told Comey, according to  the language of the memo, which the source confirmed. The White House denied the report in a statement to reporters, saying it was “not a truthful or accurate portrayal of the conversation between the President and Mr. Comey.” The memo was written by Comey immediately after his meeting in the White House Oval Office with Trump one day after Flynn resigned over his contacts with Russians.  Flynn’s resignation came hours after it was reported that the Justice Department had warned the White House weeks earlier that Flynn could be vulnerable to blackmail for contacts with Russian ambassador Sergei Kislyak before Trump took power on Jan. 20. A spokeswoman for the FBI declined to comment on the details of the memo. ",politicsNews,"May 16, 2017 "
Burundi takes steps to extend president's rule as crisis deepens,"NAIROBI (Reuters) - Burundi s cabinet backed a constitutional change that would allow its president to stay in office until 2034, widening a political rift that has driven the country progressively deeper into crisis. Under existing laws, Burundian presidents are limited to two five-year terms. Unrest that has gripped Burundi since April 2015, when Pierre Nkurunziza announced he would stand for a third, has killed hundreds, left the economy moribund and forced about 400,000 people to seek safety in neighboring countries. UN rights investigators and independent activists have accused government forces of widespread violations including forced disappearances, and of orchestrating a campaign of terror.  A senior government official told Reuters on Friday that the cabinet adopted the draft legislation seeking to amend the constitution on Tuesday. Nkurunziza, who has been in office since 2005, won re-election in July 2015 in a ballot that critics said violated the constitution and the terms of an agreement that ended a previous rebellion.  Nkurunziza s backers said the country s constitutional court had cleared him to run again, but some opponents took up arms against his rule and insecurity has plagued the country since.  Other African leaders have in the recent past also tinkered with or defied their constitutions to extend their rule, including Uganda s President Yoweri Museveni, Rwanda s Paul Kagame and Democratic Republic of Congo s Joseph Kabila. Proposed amendments under the Burundian bill seek to abolish the two-term limit and lengthen presidential terms to seven years. Incumbents would be able to serve two consecutive terms of seven years each and also be eligible to seek re-election after an interregnum. If the amendment was passed by parliament,  the current head of state can rule until 2034,  the source said. A second official told Reuters the government would hold a referendum on the draft legislation next year, but did not say which month. Opposition officials have criticized the legislation which they say was initiated in secrecy and designed to entrench Nkurunziza in power.   No one knew what was being done. It was done in total secrecy...we will always oppose it,  deputy president of the opposition FRODEBU party, Leonce Ngendakumana, told Reuters.  The constitution should not be revised in a tense social climate.   ",worldnews,"October 27, 2017 "
China urges closer cooperation with Sri Lanka on key projects,"BEIJING (Reuters) - China and Sri Lanka should focus on strengthening cooperation over key investment projects, Foreign Minister Wang Yi on Monday told his visiting counterpart from Sri Lanka, amid strong local opposition to some major Chinese-invested schemes. In July, Sri Lanka signed a long-delayed $1.1 billion deal to lease its southern Hambantota port to China, ignoring an appeal by opposition parties to debate the pact in parliament. The $1.5-billion port, close to the main shipping route from Asia to Europe and likely to play a key role in China s  Belt and Road  initiative, has been mired in controversy since a Chinese firm agreed to take an 80 percent stake in it. The pact signed last year sparked widespread public anger, as Chinese control of the port, which included a plan for a 99-year lease of 15,000 acres (23 sq miles) to develop an adjacent industrial zone, provoked fears it could be used by Chinese naval vessels. Meeting in Beijing, Wang told Tilak Marapana that the two countries should take this year s 60th anniversary of establishing diplomatic ties as an opportunity, China s foreign ministry said in a statement. Both should  emphasize strengthening traditional friendship and political mutual trust, major infrastructure projects, investment and trade  to  upgrade  their relationship, Wang added. The short statement did not mention any specific projects. As one of the first countries to help in Sri Lanka s post-war reconstruction after the 2009 end of its 26-year civil war, China s ties with Sri Lanka have unnerved India, traditionally the island nation s most important partner.     By 2014, Chinese navy submarines were also docking in Colombo, raising alarm in New Delhi and prompting a push by the administration of Prime Minister Narendra Modi to claw back influence in the region. ",worldnews,"October 30, 2017 "
